Year,Length,Title,Director,title,year,length,budget,rating,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1979,122,Cuba,Lester	 Richard,Cuba,1979,122,NA,5.5,1,0,0,0,0,0,0
1929,84,Blackmail,Hitchcock	 Alfred,Blackmail,1929,84,NA,7,0,0,0,1,0,0,0
1963,109,Donovan's Reef,Ford	 John,Donovan's Reef,1963,109,2686585,6.5,1,0,1,0,0,1,0
1988,108,Miles from Home,Sinise	 Gary,Miles from Home,1988,108,NA,5.4,0,0,0,1,0,0,0
1954,103,Elephant Walk,,Elephant Walk,1954,103,NA,5.8,0,0,0,1,0,0,0
1986,107,Duet for One,Konchalovsky	 Andrei,Duet for One,1986,107,NA,5.8,0,0,0,1,0,0,0
1991,115,Flight of the Intruder,Milius	 John,Flight of the Intruder,1991,115,NA,5.2,1,0,0,0,0,0,0
1985,104,Desperately Seeking Susan,Seidelman	 Susan,Desperately Seeking Susan,1985,104,4500000,5.6,0,0,1,1,0,1,0
1959,91,Killers of Kilimanjaro,Thorpe	 Richard,Killers of Kilimanjaro,1959,91,NA,5.3,0,0,0,0,0,0,0
1974,128,Murder on the Orient Express,Lumet	 Sidney,Murder on the Orient Express,1974,128,NA,7.1,0,0,0,1,0,0,0
1955,115,Blood Alley,Wellman	 William,Blood Alley,1955,115,2000000,5.7,0,0,0,0,0,0,0
1982,120,Creepshow,Romero	 George A.,Creepshow,1982,120,8000000,6,0,0,1,0,0,0,0
1965,100,Dear Brigitte,Koster	 Henry,Dear Brigitte,1965,100,NA,5.7,0,0,1,0,0,0,0
1987,104,Lionheart,Schaffner	 Franklin J.,Lionheart,1987,104,NA,5.2,0,0,0,1,0,0,0
1989,126,Batman,Burton	 Tim,Batman,1989,126,35000000,7.4,1,0,0,0,0,0,0
1987,95,Blind Date,Edwards	 Blake,Blind Date,1987,95,NA,5.4,0,0,1,0,0,1,0
1982,101,Mother Lode,Heston	 Charlton,Mother Lode,1982,101,NA,5,0,0,0,0,0,0,0
1982,188,Gandhi,Attenborough	 Richard,Gandhi,1982,188,22000000,8,0,0,0,1,0,0,0
1944,114,Gaslight,Cukor	 George,Gaslight,1944,114,NA,7.6,0,0,0,1,0,0,0
1958,100,Indiscreet,Donen	 Stanley,Indiscreet,1958,100,NA,6.8,0,0,1,0,0,1,0
1946,101,Notorious,Hitchcock	 Alfred,Notorious,1946,101,2000000,8.3,0,0,0,0,0,1,0
1961,120,Goodbye Again,Litvak	 Anatole,Goodbye Again,1961,120,NA,6.3,0,0,0,1,0,1,0
1969,103,Cactus Flower,Saks	 Gene,Cactus Flower,1969,103,NA,6.8,0,0,1,0,0,0,0
1970,137,Airport,Seaton	 George,Airport,1970,137,10000000,6.4,0,0,0,1,0,0,0
1976,116,Burnt Offerings,Curtis	 Dan,Burnt Offerings,1976,116,NA,5.4,0,0,0,0,0,0,0
1969,94,Easy Rider,Hopper	 Dennis,Easy Rider,1969,94,340000,7.2,1,0,0,1,0,0,0
1964,112,Goldfinger,Hamilton	 Guy,Goldfinger,1964,112,3000000,7.8,1,0,0,0,0,0,0
1968,103,Charly,Nelson	 Ralph,Charly,1968,103,NA,7.2,0,0,0,1,0,0,0
