id,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1,$,1971,121,NA,6.4,348,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
2,$1000 a Touchdown,1939,71,NA,6,20,0,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
3,$21 a Day Once a Month,1941,7,NA,8.2,5,0,0,0,0,0,24.5,0,44.5,24.5,24.5,,0,1,0,0,0,0,1
4,"$40,000.00",1996,70,NA,8.2,6,14.5,0,0,0,0,0,0,0,34.5,45.5,,0,0,1,0,0,0,0
5,"$50,000 Climax Show, The",1975,71,NA,3.4,17,24.5,4.5,0,14.5,14.5,4.5,0,0,0,24.5,,0,0,0,0,0,0,0
6,$pent,2000,91,NA,4.3,45,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,14.5,,0,0,0,1,0,0,0
7,$windle,2002,93,NA,5.3,200,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,R,1,0,0,1,0,0,0
8,'15',2002,25,NA,6.7,24,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,1,0,1
9,'38,1987,97,NA,6.6,18,4.5,4.5,4.5,0,0,0,34.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
10,'49-'17,1917,61,NA,6,51,4.5,0,4.5,4.5,4.5,44.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
11,'68,1988,99,NA,5.4,23,4.5,0,4.5,14.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
12,'94 du bi dao zhi qing,1994,96,NA,5.9,53,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
13,"'?' Motorist, The",1906,10,NA,7,44,4.5,0,0,0,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,1,0,0,0,1
14,'A',1965,10,NA,6.7,11,14.5,0,0,0,0,14.5,4.5,4.5,14.5,24.5,,0,0,0,0,0,0,1
15,'A' gai waak,1983,106,NA,7.1,1259,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG-13,1,0,1,0,0,0,0
16,'A' gai waak juk jaap,1987,101,NA,7.2,614,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,1,0,0,0,0
17,'Breaker' Morant,1980,107,NA,7.9,2718,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
18,'Bullitt': Steve McQueen's Commitment to Reality,1968,10,NA,6.6,37,0,0,4.5,4.5,4.5,14.5,44.5,14.5,4.5,4.5,,0,0,0,0,1,0,1
19,'Crocodile' Dundee II,1988,110,NA,5,7252,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,1,0,0,0,0
20,'E',1981,7,NA,8.6,15,0,0,0,0,4.5,4.5,0,14.5,24.5,45.5,,0,1,1,0,0,0,1
21,'El Chicko' - der Verdacht,1995,90,NA,3.9,10,24.5,14.5,24.5,14.5,0,14.5,14.5,0,0,24.5,,0,0,1,0,0,0,0
22,'G' Men,1935,85,450000,7.2,281,0,4.5,4.5,4.5,4.5,14.5,34.5,34.5,4.5,4.5,,0,0,0,1,0,0,0
23,'Gator Bait,1974,88,NA,3.5,100,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
24,'Gator Bait II: Cajun Justice,1988,95,NA,3.1,54,24.5,14.5,4.5,14.5,4.5,14.5,0,4.5,0,4.5,,0,0,0,0,0,0,0
25,"'High Sign', The",1921,18,NA,7.8,145,0,0,4.5,0,4.5,14.5,24.5,24.5,24.5,14.5,,0,0,1,0,0,0,1
26,'Hukkunud Alpinisti' hotell,1979,80,NA,7.7,45,4.5,0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
27,"'Hyp-Nut-Tist', The",1935,6,NA,6.2,18,4.5,0,0,24.5,0,24.5,14.5,14.5,14.5,0,,0,1,1,0,0,0,1
28,'I Do...',1989,86,NA,6.2,10,0,0,0,24.5,24.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
29,'I Know Where I'm Going!',1945,92,NA,7.7,825,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,1,0
30,'Java Madness' formerly titled 'Coffee Madness',1995,7,NA,6.8,10,0,14.5,0,0,14.5,14.5,34.5,0,14.5,34.5,,0,0,1,0,0,0,1
31,"'Je vous salue, Marie'",1985,105,NA,6.4,322,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
32,'Kaash',1987,140,NA,5.9,13,4.5,4.5,0,0,24.5,24.5,0,24.5,0,14.5,,0,0,0,1,0,0,0
33,'M' Word,1996,99,NA,4.6,6,14.5,0,14.5,14.5,14.5,0,14.5,0,0,14.5,,0,0,1,0,0,1,0
34,"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,19,NA,7.3,21,4.5,0,0,4.5,4.5,4.5,4.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
